,Team Name,Year,Wins,Losses,OT Losses,Win %,Goals For (GF),Goals Against (GA),Goal Difference
416,Minnesota Wild,2006,48,26,8,0.59,235,191,44.0
417,Montreal Canadiens,2006,42,34,6,0.51,245,256,-11.0
418,Nashville Predators,2006,51,23,8,0.62,272,212,60.0
419,New Jersey Devils,2006,49,24,9,0.6,216,201,15.0
420,New York Islanders,2006,40,30,12,0.49,248,240,8.0
421,New York Rangers,2006,42,30,10,0.51,242,216,26.0
422,Ottawa Senators,2006,48,25,9,0.59,288,222,66.0
423,Philadelphia Flyers,2006,22,48,12,0.27,214,303,-89.0
424,Phoenix Coyotes,2006,31,46,5,0.38,216,284,-68.0
425,Pittsburgh Penguins,2006,47,24,11,0.57,277,246,31.0
426,San Jose Sharks,2006,51,26,5,0.62,258,199,59.0
427,St. Louis Blues,2006,34,35,13,0.41,214,254,-40.0
428,Tampa Bay Lightning,2006,44,33,5,0.54,253,261,-8.0
429,Toronto Maple Leafs,2006,40,31,11,0.49,258,269,-11.0
430,Vancouver Canucks,2006,49,26,7,0.6,222,201,21.0
431,Washington Capitals,2006,28,40,14,0.34,235,286,-51.0
432,Anaheim Ducks,2007,47,27,8,0.57,205,191,14.0
433,Atlanta Thrashers,2007,34,40,8,0.41,216,272,-56.0
434,Boston Bruins,2007,41,29,12,0.5,212,222,-10.0
435,Buffalo Sabres,2007,39,31,12,0.48,255,242,13.0
436,Calgary Flames,2007,42,30,10,0.51,229,227,2.0
437,Carolina Hurricanes,2007,43,33,6,0.52,252,249,3.0
438,Columbus Blue Jackets,2007,34,36,12,0.41,193,218,-25.0
439,Chicago Blackhawks,2007,40,34,8,0.49,239,235,4.0
440,Colorado Avalanche,2007,44,31,7,0.54,231,219,12.0
441,Dallas Stars,2007,45,30,7,0.55,242,207,35.0
442,Detroit Red Wings,2007,54,21,7,0.66,257,184,73.0
443,Edmonton Oilers,2007,41,35,6,0.5,235,251,-16.0
444,Florida Panthers,2007,38,35,9,0.46,216,226,-10.0
445,Los Angeles Kings,2007,32,43,7,0.39,231,266,-35.0
446,Minnesota Wild,2007,44,28,10,0.54,223,218,5.0
447,Montreal Canadiens,2007,47,25,10,0.57,262,222,40.0
448,Nashville Predators,2007,41,32,9,0.5,230,229,1.0
449,New Jersey Devils,2007,46,29,7,0.56,206,197,9.0
450,New York Islanders,2007,35,38,9,0.43,194,243,-49.0
451,New York Rangers,2007,42,27,13,0.51,213,199,14.0
452,Ottawa Senators,2007,43,31,8,0.52,261,247,14.0
453,Philadelphia Flyers,2007,42,29,11,0.51,248,233,15.0
454,Phoenix Coyotes,2007,38,37,7,0.46,214,231,-17.0
455,Pittsburgh Penguins,2007,47,27,8,0.57,247,216,31.0
456,San Jose Sharks,2007,49,23,10,0.6,222,193,29.0
457,St. Louis Blues,2007,33,36,13,0.4,205,237,-32.0
458,Tampa Bay Lightning,2007,31,42,9,0.38,223,267,-44.0
459,Toronto Maple Leafs,2007,36,35,11,0.44,231,260,-29.0
460,Vancouver Canucks,2007,39,33,10,0.48,213,215,-2.0
461,Washington Capitals,2007,43,31,8,0.52,242,231,11.0
462,Anaheim Ducks,2008,42,33,7,0.51,245,238,7.0
463,Atlanta Thrashers,2008,35,41,6,0.43,257,280,-23.0
464,Boston Bruins,2008,53,19,10,0.65,274,196,78.0
465,Buffalo Sabres,2008,41,32,9,0.5,250,234,16.0
466,Calgary Flames,2008,46,30,6,0.56,254,248,6.0
467,Carolina Hurricanes,2008,45,30,7,0.55,239,226,13.0
468,Columbus Blue Jackets,2008,41,31,10,0.5,226,230,-4.0
469,Chicago Blackhawks,2008,46,24,12,0.56,264,216,48.0
470,Colorado Avalanche,2008,32,45,5,0.39,199,257,-58.0
471,Dallas Stars,2008,36,35,11,0.44,230,257,-27.0
472,Detroit Red Wings,2008,51,21,10,0.62,295,244,51.0
473,Edmonton Oilers,2008,38,35,9,0.46,234,248,-14.0
474,Florida Panthers,2008,41,30,11,0.5,234,231,3.0
475,Los Angeles Kings,2008,34,37,11,0.41,207,234,-27.0
476,Minnesota Wild,2008,40,33,9,0.49,219,200,19.0
477,Montreal Canadiens,2008,41,30,11,0.5,249,247,2.0
478,Nashville Predators,2008,40,34,8,0.49,213,233,-20.0
479,New Jersey Devils,2008,51,27,4,0.62,244,209,35.0
480,New York Islanders,2008,26,47,9,0.32,201,279,-78.0
481,New York Rangers,2008,43,30,9,0.52,210,218,-8.0
482,Ottawa Senators,2008,36,35,11,0.44,217,237,-20.0
483,Philadelphia Flyers,2008,44,27,11,0.54,264,238,26.0
484,Phoenix Coyotes,2008,36,39,7,0.44,208,252,-44.0
485,Pittsburgh Penguins,2008,45,28,9,0.55,264,239,25.0
486,San Jose Sharks,2008,53,18,11,0.65,257,204,53.0
487,St. Louis Blues,2008,41,31,10,0.5,233,233,0.0
488,Tampa Bay Lightning,2008,24,40,18,0.29,210,279,-69.0
489,Toronto Maple Leafs,2008,34,35,13,0.41,250,293,-43.0
490,Vancouver Canucks,2008,45,27,10,0.55,246,220,26.0
491,Washington Capitals,2008,50,24,8,0.61,272,245,27.0
492,Anaheim Ducks,2009,39,32,11,0.48,238,251,-13.0
493,Atlanta Thrashers,2009,35,34,13,0.43,234,256,-22.0
494,Boston Bruins,2009,39,30,13,0.48,206,200,6.0
495,Buffalo Sabres,2009,45,27,10,0.55,235,207,28.0
496,Calgary Flames,2009,40,32,10,0.49,204,210,-6.0
497,Carolina Hurricanes,2009,35,37,10,0.43,230,256,-26.0
498,Columbus Blue Jackets,2009,32,35,15,0.39,216,259,-43.0
499,Chicago Blackhawks,2009,52,22,8,0.63,271,209,62.0
500,Colorado Avalanche,2009,43,30,9,0.52,244,233,11.0
501,Dallas Stars,2009,37,31,14,0.45,237,254,-17.0
502,Detroit Red Wings,2009,44,24,14,0.54,229,216,13.0
503,Edmonton Oilers,2009,27,47,8,0.33,214,284,-70.0
504,Florida Panthers,2009,32,37,13,0.39,208,244,-36.0
505,Los Angeles Kings,2009,46,27,9,0.56,241,219,22.0
506,Minnesota Wild,2009,38,36,8,0.46,219,246,-27.0
507,Montreal Canadiens,2009,39,33,10,0.48,217,223,-6.0
508,Nashville Predators,2009,47,29,6,0.57,225,225,0.0
509,New Jersey Devils,2009,48,27,7,0.59,222,191,31.0
510,New York Islanders,2009,34,37,11,0.41,222,264,-42.0
511,New York Rangers,2009,38,33,11,0.46,222,218,4.0
512,Ottawa Senators,2009,44,32,6,0.54,225,238,-13.0
513,Philadelphia Flyers,2009,41,35,6,0.5,236,225,11.0
514,Phoenix Coyotes,2009,50,25,7,0.61,225,202,23.0
515,Pittsburgh Penguins,2009,47,28,7,0.57,257,237,20.0
516,San Jose Sharks,2009,51,20,11,0.62,264,215,49.0
517,St. Louis Blues,2009,40,32,10,0.49,225,223,2.0
518,Tampa Bay Lightning,2009,34,36,12,0.41,217,260,-43.0
519,Toronto Maple Leafs,2009,30,38,14,0.37,214,267,-53.0
520,Vancouver Canucks,2009,49,28,5,0.6,272,222,50.0
521,Washington Capitals,2009,54,15,13,0.66,318,233,85.0
522,Anaheim Ducks,2010,47,30,5,0.57,239,235,4.0
523,Atlanta Thrashers,2010,34,36,12,0.41,223,269,-46.0
524,Boston Bruins,2010,46,25,11,0.56,246,195,51.0
525,Buffalo Sabres,2010,43,29,10,0.52,245,229,16.0
526,Calgary Flames,2010,41,29,12,0.5,250,237,13.0
527,Carolina Hurricanes,2010,40,31,11,0.49,236,239,-3.0
528,Columbus Blue Jackets,2010,34,35,13,0.41,215,258,-43.0
529,Chicago Blackhawks,2010,44,29,9,0.54,258,225,33.0
530,Colorado Avalanche,2010,30,44,8,0.37,227,288,-61.0
531,Dallas Stars,2010,42,29,11,0.51,227,233,-6.0
532,Detroit Red Wings,2010,47,25,10,0.57,261,241,20.0
533,Edmonton Oilers,2010,25,45,12,0.3,193,269,-76.0
534,Florida Panthers,2010,30,40,12,0.37,195,229,-34.0
535,Los Angeles Kings,2010,46,30,6,0.56,219,198,21.0
536,Minnesota Wild,2010,39,35,8,0.48,206,233,-27.0
537,Montreal Canadiens,2010,44,30,8,0.54,216,209,7.0
538,Nashville Predators,2010,44,27,11,0.54,219,194,25.0
539,New Jersey Devils,2010,38,39,5,0.46,174,209,-35.0
540,New York Islanders,2010,30,39,13,0.37,229,264,-35.0
541,New York Rangers,2010,44,33,5,0.54,233,198,35.0
542,Ottawa Senators,2010,32,40,10,0.39,192,250,-58.0
543,Philadelphia Flyers,2010,47,23,12,0.57,259,223,36.0
544,Phoenix Coyotes,2010,43,26,13,0.52,231,226,5.0
545,Pittsburgh Penguins,2010,49,25,8,0.6,238,199,39.0
546,San Jose Sharks,2010,48,25,9,0.59,248,213,35.0
547,St. Louis Blues,2010,38,33,11,0.46,240,234,6.0
548,Tampa Bay Lightning,2010,46,25,11,0.56,247,240,7.0
549,Toronto Maple Leafs,2010,37,34,11,0.45,218,251,-33.0
550,Vancouver Canucks,2010,54,19,9,0.66,262,185,77.0
551,Washington Capitals,2010,48,23,11,0.59,224,197,27.0
552,Anaheim Ducks,2011,34,36,12,0.41,204,231,-27.0
553,Boston Bruins,2011,49,29,4,0.6,269,202,67.0
554,Buffalo Sabres,2011,39,32,11,0.48,218,230,-12.0
555,Calgary Flames,2011,37,29,16,0.45,202,226,-24.0
556,Carolina Hurricanes,2011,33,33,16,0.4,213,243,-30.0
557,Columbus Blue Jackets,2011,29,46,7,0.35,202,262,-60.0
558,Chicago Blackhawks,2011,45,26,11,0.55,248,238,10.0
559,Colorado Avalanche,2011,41,35,6,0.5,208,220,-12.0
560,Dallas Stars,2011,42,35,5,0.51,211,222,-11.0
561,Detroit Red Wings,2011,48,28,6,0.59,248,203,45.0
562,Edmonton Oilers,2011,32,40,10,0.39,212,239,-27.0
563,Florida Panthers,2011,38,26,18,0.46,203,227,-24.0
564,Los Angeles Kings,2011,40,27,15,0.49,194,179,15.0
565,Minnesota Wild,2011,35,36,11,0.43,177,226,-49.0
566,Montreal Canadiens,2011,31,35,16,0.38,212,226,-14.0
567,Nashville Predators,2011,48,26,8,0.59,237,210,27.0
568,New Jersey Devils,2011,48,28,6,0.59,228,209,19.0
569,New York Islanders,2011,34,37,11,0.41,203,255,-52.0
570,New York Rangers,2011,51,24,7,0.62,226,187,39.0
571,Ottawa Senators,2011,41,31,10,0.5,249,240,9.0
572,Philadelphia Flyers,2011,47,26,9,0.57,264,232,32.0
573,Phoenix Coyotes,2011,42,27,13,0.51,216,204,12.0
574,Pittsburgh Penguins,2011,51,25,6,0.62,282,221,61.0
575,San Jose Sharks,2011,43,29,10,0.52,228,210,18.0
576,St. Louis Blues,2011,49,22,11,0.6,210,165,45.0
577,Tampa Bay Lightning,2011,38,36,8,0.46,235,281,-46.0
578,Toronto Maple Leafs,2011,35,37,10,0.43,231,264,-33.0
579,Vancouver Canucks,2011,51,22,9,0.62,249,198,51.0
580,Washington Capitals,2011,42,32,8,0.51,222,230,-8.0
581,Winnipeg Jets,2011,37,35,10,0.45,225,246,-21.0
